"origin","destination","distance","duration","id"
139,195,181,2.75,
139,196,142,2.17,
159,2,564,9.3,
159,29,304,5.56,
159,36,201,4.22,
159,50,510,8.61,
159,56,250,5.15,
159,59,232,4.62,
159,72,467,8.35,
159,73,377,6.65,
159,81,180,3.84,
159,82,192,3.89,
159,84,168,3.54,
159,94,736,11.86,
159,112,383,8.49,
159,115,342,7.69,
159,117,442,10.4,
159,139,286,5.26,
159,159,0,0,
159,169,99,2.66,
159,182,517,8.5,
159,183,504,8.12,
159,184,92,2.51,
159,195,242,4.79,
159,196,285,5.37,
169,2,469,6.87,
169,29,209,3.12,
169,36,106,1.78,
169,50,545,7.84,
169,56,342,5.51,
169,59,325,4.98,
169,72,524,8.19,
169,73,434,6.49,
169,81,103,1.66,
169,82,114,1.71,
169,84,91,1.35,
169,94,676,9.98,
169,112,439,8.34,
169,115,398,7.54,
169,117,499,10.25,
169,139,192,2.83,
169,159,99,2.66,
169,169,0,0,
169,182,574,8.2,
169,183,561,7.82,
169,184,153,2.3,
169,195,150,2.37,
169,196,193,2.95,
182,2,389,5.99,
182,29,371,5.73,
182,36,466,7.22,
182,50,326,5.02,
182,56,623,9.3,
182,59,605,8.78,
182,72,104,2.08,
182,73,148,2.5,
182,81,670,9.61,
182,82,682,9.67,
182,84,658,9.31,
182,94,552,8.28,
182,112,367,7.22,
182,115,328,6.5,
182,117,197,5.24,
182,139,596,8.98,
182,159,517,8.5,
182,169,574,8.2,
182,182,0,0,
182,183,14,0.41,
182,184,424,6.52,
182,195,425,6.56,
182,196,457,7.04,
183,2,376,5.61,
183,29,358,5.35,
183,36,453,6.84,
183,50,313,4.64,
183,56,609,8.92,
183,59,592,8.4,
183,72,91,1.7,
183,73,135,2.12,
183,81,657,9.23,
183,82,668,9.29,
183,84,644,8.93,
183,94,539,7.9,
183,112,354,6.84,
183,115,315,6.12,
183,117,183,4.86,
183,139,583,8.6,
183,159,504,8.12,
183,169,561,7.82,
183,182,14,0.41,
183,183,0,0,
183,184,410,6.14,
183,195,412,6.18,
183,196,444,6.66,
184,2,481,7.15,
184,29,264,3.84,
184,36,162,2.5,
184,50,418,6.18,
184,56,197,3.31,
184,59,180,2.78,
184,72,375,5.92,
184,73,285,4.22,
184,81,248,3.71,
184,82,260,3.76,
184,84,236,3.4,
184,94,644,9.43,
184,112,291,6.06,
184,115,249,5.27,
184,117,350,7.98,
184,139,323,4.67,
184,159,92,2.51,
184,169,153,2.3,
184,182,424,6.52,
184,183,410,6.14,
184,184,0,0,
184,195,206,3.23,
184,196,249,3.81,
195,2,321,4.65,
195,29,60,0.91,
195,36,40,0.88,
195,50,396,5.62,
195,56,396,6.33,
195,59,379,5.8,
195,72,376,5.97,
195,73,286,4.26,
195,81,246,3.79,
195,82,257,3.84,
195,84,233,3.48,
195,94,527,7.77,
195,112,512,9.12,
195,115,452,8.36,
195,117,472,8.36,
195,139,181,2.75,
195,159,242,4.79,
195,169,150,2.37,
195,182,425,6.56,
195,183,412,6.18,
195,184,206,3.23,
195,195,0,0,
195,196,43,0.76,
196,2,352,5.13,
196,29,92,1.38,
196,36,83,1.46,
196,50,428,6.1,
196,56,439,6.91,
196,59,422,6.38,
196,72,408,6.44,
196,73,318,4.74,
196,81,289,4.36,
196,82,300,4.42,
196,84,276,4.06,
196,94,559,8.24,
196,112,544,9.6,
196,115,505,8.87,
196,117,503,8.83,
196,139,142,2.17,
196,159,285,5.37,
196,169,193,2.95,
196,182,457,7.04,
196,183,444,6.66,
196,184,249,3.81,
196,195,43,0.76,
196,196,0,0,
213,2,419,6.73,
213,29,402,6.47,
213,36,496,7.96,
213,50,356,5.76,
213,56,653,10.04,
213,59,635,9.52,
213,72,134,2.82,
213,73,178,3.24,
213,81,700,10.35,
213,82,712,10.41,
213,84,688,10.05,
213,94,583,9.02,
213,112,137,3.64,
213,115,134,3.68,
213,117,45,1.22,
213,139,626,9.72,
213,159,547,9.24,
213,169,604,8.94,
213,182,70,1.79,
213,183,59,1.42,
213,184,455,6.82,
213,195,456,7.25,
213,196,487,7.74,
213,213,0,0,
2,213,419,6.73,
29,213,402,6.47,
36,213,496,7.96,
50,213,356,5.76,
56,213,653,10.04,
59,213,635,9.52,
72,213,134,2.82,
73,213,178,3.24,
81,213,700,10.35,
82,213,712,10.41,
84,213,688,10.05,
94,213,583,9.02,
112,213,137,3.64,
115,213,134,3.68,
117,213,45,1.22,
139,213,626,9.72,
159,213,547,9.24,
169,213,604,8.94,
182,213,70,1.79,
183,213,59,1.42,
184,213,455,6.82,
195,213,456,7.25,
196,213,487,7.74,
